English,Polish
you,ty
I,ja
say,mówić
to,do
it,to
and,i
that,że
of,z
is,jest
in,w
what,co
we,my
me,mnie
this,to
he,on
for,dla
my,mój
on,na
have,mieć
your,Twój
do,robić
was,było
no,Nie
not,nie
be,być
are,są
know,wiedzieć
can,mogą
with,z
but,ale
all,wszystko
so,więc
just,tylko
there,tam
here,tutaj
they,oni
like,lubić
get,otrzymać
she,Ona
go,iść
if,Jeśli
right,dobrze
out,na zewnątrz
about,o
up,w górę
at,w
him,mu
now,teraz
one,jeden
come,chodź
well,dobrze
her,jej
how,jak
yeah,Tak
will,będzie
got,dostał
want,chcieć
think,myśleć
as,tak jak
see,widzieć
did,zrobił
good,dobry
who,kto
why,czemu
from,od
let,pozwolić
his,jego
yes,tak
when,kiedy
going,chodzenie
time,czas
okay,w porządku
back,plecy
look,Popatrz
us,nas
would,by
them,im
where,gdzie
were,byli
take,brać
then,następnie
had,miał
or,lub
our,nasz
gonna,będzie
tell,powiedzieć
really,naprawdę
man,człowiek
some,trochę
